A (mm),"Tf,in ( C)","Tc,in ( C)",Q (L/h),Y (kg/m2 h)
3,70,25,200,45.487
3,70,15,200,50.232
3,60,25,200,30.185
3,60,15,200,35.264
3,70,25,150,43.959
3,70,15,150,47.468
3,60,25,150,29.288
3,60,15,150,34.279
3,65,26.1,175,34.42
3,65,13.9,175,39.997
3,71,20,175,45.382
3,59,20,175,29.264
3,65,20,205,37.837
3,65,20,145,36.855
3,65,20,175,36.85
4.2,70,25,200,38.951
4.2,70,15,200,43.345
4.2,60,25,200,26.629
4.2,60,15,200,29.039
4.2,70,25,150,35.349
4.2,70,15,150,39.079
4.2,60,25,150,24.461
4.2,60,15,150,25.642
4.2,65,26.1,175,29.569
4.2,65,13.9,175,34.681
4.2,71,20,175,41.648
4.2,59,20,175,24.82
4.2,65,20,205,34.52
4.2,65,20,145,31.277
4.2,65,20,175,33.528
7.4,70,25,200,31.565
7.4,70,15,200,36.866
7.4,60,25,200,20.964
7.4,60,15,200,25.941
7.4,70,25,150,27.81
7.4,70,15,150,32.675
7.4,60,25,150,19.626
7.4,60,15,150,23.776
7.4,65,26.1,175,25.651
7.4,65,13.9,175,29.547
7.4,71,20,175,34.284
7.4,59,20,175,20.444
7.4,65,20,205,28.481
7.4,65,20,145,25.547
7.4,65,20,175,26.905
3,30,20,175,3.147
3,40,20,175,9.189
3,50,20,175,17.669
4.2,30,20,175,2.827
4.2,40,20,175,7.898
4.2,50,20,175,16.406
7.4,30,20,175,2.039
7.4,40,20,175,5.613
7.4,50,20,175,12.159
3,70,20,200,45.273
3,65,15,150,38.738
3,65,25,200,34.238
3,60,15,175,32.151
4.2,70,20,200,40.507
4.2,65,15,150,34.198
4.2,65,25,200,32.505
4.2,60,15,150,29.622
7.4,70,20,200,34.931
7.4,65,15,150,27.642
7.4,65,25,200,27.855
7.4,60,15,175,24.025
3,71,13.9,205,51.075
3,63,13.9,205,37.111
4.2,71,13.9,205,47.289
4.2,63,13.9,205,35.039
7.4,71,13.9,205,40.938
7.4,63,13.9,205,32.898
